DateTime,high,low,open,close,volumeto,ETH,SP500,Russell_2000,Crude_oil,Gold,Silver,EUR/USD,Treasury Yield 10 Years,USD/JPY,wiki_Bitcoin,wiki_Cryptocurrency,wiki_Coinbase
2021-04-23,52112.75,47495.24,51717.61,51178.03,5241192198.03,2369.67,4180.169921875,2271.860107421875,62.13999938964844,1777.0,26.07699966430664,1.2014753818511963,1.5670000314712524,107.97799682617188,8153,5034,2323
2021-04-26,54389.71,48843.41,49120.97,54062.29,3254396664.97,2534.9,4187.6201171875,2298.010009765625,61.90999984741211,1779.199951171875,26.211000442504883,1.2089852094650269,1.5700000524520874,107.8740005493164,7415,5068,1944
2021-04-27,55490.94,53357.59,54062.29,55073.48,2220077233.11,2667.93,4186.72021484375,2301.27001953125,62.939998626708984,1778.0,26.41200065612793,1.2081671953201294,1.621999979019165,108.2020034790039,10147,5709,1962
2021-04-28,56461.55,53886.63,55073.48,54877.94,2339383717.48,2750.91,4183.18017578125,2304.159912109375,63.86000061035156,1773.199951171875,26.08099937438965,1.2090305089950562,1.6200000047683716,108.75,17232,8648,2024
2021-04-29,55217.24,52399.42,54877.94,53581.58,2359198137.55,2758.46,4211.47021484375,2295.4599609375,65.01000213623047,1768.0999755859375,26.05299949645996,1.213592290878296,1.6399999856948853,108.50499725341797,13712,7214,1956
2021-04-30,57984.34,53089.93,53581.58,57757.97,2719315702.2,2775.96,4181.169921875,2266.449951171875,63.58000183105469,1767.300048828125,25.85300064086914,1.2127091884613037,1.63100004196167,108.90399932861328,13819,7280,1766
2021-05-03,58963.84,56531.6,56623.51,57195.07,2371465902.34,3431.41,4192.66015625,2277.449951171875,64.48999786376953,1791.4000244140625,26.94300079345703,1.2027760744094849,1.6069999933242798,109.28299713134766,11477,7046,2123
2021-05-04,57226.81,53108.04,57195.07,53244.07,3556756117.3,3241.09,4164.66015625,2248.2900390625,65.69000244140625,1775.800048828125,26.538999557495117,1.2061271667480469,1.5920000076293945,109.08699798583984,10727,8047,2549
2021-05-05,57944.11,52978.89,53244.07,57506.88,3200062630.96,3528.86,4167.58984375,2241.3701171875,65.62999725341797,1784.0999755859375,26.50200080871582,1.2015043497085571,1.5839999914169312,109.3290023803711,9787,8213,2752
2021-05-06,58392.76,55299.4,57506.88,56441.94,2878647496.02,3491.74,4201.6201171875,2241.419921875,64.70999908447266,1815.5,27.461999893188477,1.2007973194122314,1.5609999895095825,109.21900177001953,12200,8698,2913
2021-05-07,58695.29,55311.16,56441.94,57374.33,2439662460.45,3483.96,4232.60009765625,2271.6298828125,64.9000015258789,1831.0999755859375,27.461999893188477,1.2068549394607544,1.5770000219345093,109.05000305175781,11533,8313,2317
